,Ventana,TS,Accuracy,Tiempo transcurrido [sec],Instancias clase_1,Instancias clase_2,Instancias clase_3,Instancias clase_4,Instancias clase_5,Instancias clase_6,Clasificadas clase_1,Clasificadas clase_2,Clasificadas clase_3,Clasificadas clase_4,Clasificadas clase_5,Clasificadas clase_6,Cluster clase_1,Cluster clase_2,Cluster clase_3,Cluster clase_4,Cluster clase_5,Cluster clase_6
1,1,3999,100.0,169.7077926369966,979,False,1021,False,False,False,979,False,1021,False,False,False,3,False,3,False,False,False
2,2,5999,99.4,169.93533820600715,506,12,1482,False,False,False,506,False,1482,False,False,False,3,False,3,False,False,False
3,3,7999,99.3,170.36543749901466,511,14,1475,False,False,False,511,False,1475,False,False,False,3,False,3,False,False,False
4,4,9999,99.6,170.4841405110201,494,8,1498,False,False,False,494,False,1498,False,False,False,3,False,3,False,False,False
5,5,11999,99.55000000000001,170.70008885202697,492,9,1499,False,False,False,492,False,1499,False,False,False,3,False,3,False,False,False
6,6,13999,99.75,171.25740845897235,517,5,1478,False,False,False,517,False,1478,False,False,False,3,False,3,False,False,False
7,7,15999,99.55000000000001,171.547155760054,537,9,1454,False,False,False,537,False,1454,False,False,False,3,False,3,False,False,False
8,8,17999,99.55000000000001,171.30141190899303,494,9,1497,False,False,False,494,False,1497,False,False,False,3,False,3,False,False,False
9,9,19999,99.55000000000001,172.6148465310107,526,9,1465,False,False,False,526,False,1465,False,False,False,3,False,3,False,False,False
10,10,21999,99.75,169.0403925299761,507,5,1488,False,False,False,507,False,1488,False,False,False,3,False,3,False,False,False
11,11,23999,99.7,166.48110235796776,541,6,1453,False,False,False,541,False,1453,False,False,False,3,False,3,False,False,False
12,12,25999,99.35000000000001,172.65656830603257,491,13,1496,False,False,False,491,False,1496,False,False,False,3,False,3,False,False,False
13,13,27999,99.8,175.51133111701347,515,3,1482,False,False,False,514,False,1482,False,False,False,3,1,3,False,False,False
14,14,29999,99.95,202.70628134999424,502,14,1484,False,False,False,501,14,1484,False,False,False,3,1,3,False,False,False
15,15,31999,99.95,203.7364012579783,486,6,1508,False,False,False,485,6,1508,False,False,False,3,1,3,False,False,False
16,16,33999,99.9,203.546952366014,501,4,1495,False,False,False,499,4,1495,False,False,False,3,1,3,False,False,False
17,17,35999,100.0,204.10826638503931,502,3,1495,False,False,False,502,3,1495,False,False,False,3,1,3,False,False,False
18,18,37999,100.0,205.00099615199724,514,6,1480,False,False,False,514,6,1480,False,False,False,3,1,3,False,False,False
19,19,39999,100.0,204.07670371502172,468,12,1520,False,False,False,468,12,1520,False,False,False,3,1,3,False,False,False
20,20,41999,99.95,205.4491259669885,519,3,1478,False,False,False,518,3,1478,False,False,False,3,1,3,False,False,False
21,21,43999,99.95,205.57116359600332,545,9,1446,False,False,False,544,9,1446,False,False,False,3,1,3,False,False,False
22,22,45999,100.0,205.4316339000361,518,9,1473,False,False,False,518,9,1473,False,False,False,3,1,3,False,False,False
23,23,47999,100.0,204.29371742298827,503,8,1489,False,False,False,503,8,1489,False,False,False,3,1,3,False,False,False
24,24,49999,99.9,197.9361963790143,489,12,1499,False,False,False,487,12,1499,False,False,False,3,1,3,False,False,False
25,25,51999,99.85000000000001,198.50679384195246,493,9,1498,False,False,False,491,8,1498,False,False,False,3,1,3,False,False,False
26,26,53999,100.0,199.21180357597768,493,7,1500,False,False,False,493,7,1500,False,False,False,3,1,3,False,False,False
27,27,55999,99.95,200.0041757710278,524,6,1470,False,False,False,523,6,1470,False,False,False,3,1,3,False,False,False
